userId,itemId
26,60428; 33909; 3800; 15351; 92331; 10896; 55217; 54694; 77822; 28903
27,76787; 1078; 878; 54539; 61895; 73254; 93089; 73008; 83104; 21141
28,10045; 18371; 15704; 5709; 2073; 81364; 51845; 61572; 45607; 58616
29,91824; 7273; 1752; 98856; 20424; 9521; 25419; 2184; 52421; 127
30,30914; 50918; 92154; 29848; 26771; 94493; 98049; 15593; 33178; 4970
31,54226; 12491; 23119; 29489; 30512; 81919; 7201; 93006; 35707; 86940
32,44565; 76485; 21042; 93587; 2583; 49503; 32141; 81032; 37166; 10012
33,78202; 27066; 2300; 15501; 81912; 58534; 21740; 58542; 25931; 81004
34,74190; 9382; 38565; 93624; 85715; 77714; 34000; 51988; 36523; 7469
35,33022; 68334; 79858; 93251; 42932; 41378; 92986; 20428; 81052; 4557
36,60348; 3776; 20130; 99652; 16172; 25365; 82678; 96474; 41485; 45827
37,15251; 65102; 39446; 61412; 74540; 18025; 15830; 23833; 51937; 20538
38,40264; 17496; 12296; 20205; 90476; 81303; 94227; 36690; 80599; 77500
39,48137; 92491; 15346; 13976; 50375; 25734; 62801; 69733; 13446; 37562
40,37348; 9521; 83187; 75396; 1213; 11389; 15280; 15158; 72810; 24247
41,92451; 60215; 92932; 86382; 27175; 93917; 31162; 28048; 67005; 50914
42,10734; 8353; 67758; 94785; 93831; 8468; 93507; 68334; 8754; 18987
43,62162; 19720; 40224; 60119; 34233; 17248; 38277; 33664; 91517; 32781
44,51904; 49703; 97403; 769; 31431; 34055; 95449; 42270; 61576; 87337
45,74587; 97344; 91901; 92606; 31844; 79029; 52507; 54938; 21498; 33531
46,10317; 63747; 29665; 35818; 69629; 53516; 45430; 3573; 11197; 90528
47,20966; 38530; 6881; 20844; 55377; 31377; 90357; 68936; 85607; 71360
48,33405; 49039; 72691; 28079; 92878; 53851; 55227; 52139; 71638; 84078
49,56544; 79195; 2578; 6529; 26342; 80953; 37136; 74585; 3778; 62470
50,77779; 12095; 81218; 77564; 75298; 36966; 53115; 2676; 35499; 78338
51,46124; 50226; 31439; 67145; 4101; 93184; 72289; 96448; 14927; 462
52,5240; 3297; 87487; 36598; 14125; 91705; 5081; 89799; 64521; 10784
53,27835; 91016; 11197; 54994; 40847; 78202; 39138; 36184; 60472; 27580
54,38193; 41052; 31848; 71541; 43094; 57224; 80599; 91358; 60995; 15682
55,47060; 24089; 6326; 14830; 3596; 20924; 21801; 49318; 85536; 15097
56,9266; 80629; 65015; 43985; 27965; 20400; 17083; 1982; 20639; 5709
57,77779; 82261; 75901; 98359; 50918; 52865; 37085; 72839; 9002; 46018
58,57450; 42973; 79588; 58452; 43507; 47325; 35748; 58395; 14061; 81903
59,56341; 15626; 36677; 13222; 49426; 58395; 13129; 36648; 57520; 55401
60,81524; 5758; 93969; 82418; 86435; 53098; 13394; 1641; 84578; 61028
61,16835; 42053; 81860; 17831; 35653; 32302; 70443; 83523; 44905; 85756
62,93285; 85733; 5290; 30501; 75371; 2696; 15377; 5343; 70805; 4889
63,94462; 73189; 36018; 85976; 94532; 22916; 81443; 78752; 83039; 98182
64,69724; 37517; 33393; 99445; 56733; 81859; 73079; 47764; 74979; 52915
65,75004; 62914; 15276; 91251; 32305; 67823; 34679; 98265; 48966; 14729
66,22661; 31401; 10666; 5573; 98265; 60728; 69858; 27506; 5472; 765
67,44900; 77231; 77970; 1895; 31722; 6164; 79239; 83172; 95349; 11399
68,98079; 66422; 40446; 44196; 61832; 1420; 74507; 75050; 22789; 80188
69,22968; 37721; 75538; 40365; 69872; 10403; 73254; 24823; 29329; 59071
70,96088; 98329; 68443; 75538; 67204; 5290; 1651; 33532; 77655; 7654
71,97994; 6574; 75961; 69600; 20283; 60263; 77970; 12478; 92430; 77820
72,31972; 81542; 6610; 9168; 96058; 83180; 87601; 64801; 53072; 84887
73,84573; 43233; 24800; 80510; 20510; 13404; 87593; 49384; 26303; 68607
74,93203; 53167; 86821; 7572; 95856; 52310; 79412; 12429; 68988; 94517
75,79001; 51531; 72515; 12793; 53158; 1065; 83788; 71320; 33608; 85947
76,42537; 7658; 50521; 8668; 12740; 53434; 60609; 59749; 94495; 30480
77,5504; 49995; 77535; 89448; 38769; 31820; 73991; 62571; 89294; 69277
78,27287; 10049; 36443; 65758; 55424; 15773; 72198; 9958; 29771; 77133
79,97494; 60753; 81729; 71328; 25105; 80377; 67756; 95862; 93587; 1970
80,33603; 59923; 89461; 10854; 96277; 10210; 4300; 58959; 6810; 70061
81,77985; 83172; 69670; 92772; 53769; 91264; 49211; 5025; 43131; 10928
82,37174; 49576; 15501; 60289; 81106; 51699; 66657; 6055; 33811; 2650
83,78169; 35305; 16712; 79197; 85745; 93463; 59400; 74897; 6559; 48660
84,93215; 71697; 81427; 94849; 33169; 61450; 26500; 33002; 35005; 20867
85,30728; 6228; 61329; 50699; 30394; 81765; 82321; 75989; 30054; 34784
86,21874; 79874; 19449; 1776; 8680; 4037; 62834; 10349; 92828; 25466
87,2696; 91491; 16684; 10883; 41024; 9913; 85684; 38234; 32767; 2276
88,77307; 78130; 73344; 78943; 31814; 15907; 10195; 89613; 8360; 90019
89,79058; 42736; 30505; 78455; 65681; 24866; 64889; 37721; 65929; 479
90,9002; 11219; 4327; 20538; 28012; 78449; 14106; 37932; 58870; 19211
91,21993; 90405; 56511; 65307; 26040; 11270; 38530; 61198; 18072; 31178
92,40473; 41806; 18442; 11571; 64664; 18161; 46792; 30899; 60572; 33389
93,12402; 11274; 97412; 71541; 2935; 28753; 51163; 2239; 77006; 76678
94,98658; 51823; 11586; 23803; 7529; 93246; 61781; 65901; 20362; 28937
95,63525; 74531; 1970; 39434; 59496; 77995; 85466; 89097; 69306; 67756
96,69395; 57316; 85637; 21874; 98773; 86180; 62834; 62753; 32947; 95788
97,48966; 31645; 28068; 60031; 30505; 79797; 94058; 38848; 94809; 670
98,90489; 41684; 24907; 54166; 15456; 79419; 52350; 25897; 75001; 68535
99,57953; 4299; 54365; 96915; 42774; 33551; 21718; 52154; 57161; 56901
100,91737; 70577; 53851; 88550; 51163; 11352; 23685; 32013; 44245; 97247
101,87920; 33171; 14116; 14705; 94962; 99446; 10425; 26492; 24171; 57167
102,40212; 91184; 90784; 79222; 8086; 68149; 50857; 79032; 9518; 45457
103,8751; 5290; 15168; 65806; 74184; 58211; 42402; 73283; 8956; 88067
104,64315; 32796; 25860; 18121; 32027; 65910; 70335; 49207; 26055; 45261
105,11174; 79588; 77360; 81919; 25466; 32798; 1309; 62797; 5731; 33682
106,58184; 11197; 38209; 61112; 22100; 39364; 26203; 81792; 61652; 79136
107,33405; 1202; 53851; 90542; 85866; 12806; 81750; 51163; 7421; 16933
108,61793; 15974; 87935; 19850; 96969; 66811; 58326; 97811; 11502; 100165
109,15624; 59888; 47067; 40455; 36522; 37191; 32896; 49521; 39098; 69373
110,37332; 86190; 67853; 49490; 59612; 58907; 94468; 66542; 41684; 29555
111,69494; 39009; 52139; 85799; 55820; 89; 2239; 5813; 72289; 63762
112,13609; 53618; 3885; 37208; 57045; 48924; 97433; 86009; 13381; 36165
113,51709; 9382; 61486; 3315; 37231; 8515; 27715; 51988; 6825; 90353
114,19015; 68638; 61163; 52849; 81755; 36164; 10037; 26903; 4300; 54069
115,82399; 97635; 1865; 31137; 6083; 1995; 81072; 54105; 74980; 3938
116,51632; 31552; 13608; 86704; 64315; 77382; 10241; 40401; 72509; 98453
117,25554; 41937; 64386; 83296; 73070; 92234; 21993; 6623; 68883; 59293
118,664; 4989; 15848; 42; 5502; 75150; 359; 26484; 32658; 82175
119,91239; 11264; 433; 17790; 87530; 84372; 22361; 31117; 15913; 36005
120,15626; 21270; 3822; 93608; 85863; 74073; 54606; 38727; 93483; 79017
121,37221; 85759; 8602; 59455; 75924; 3393; 21557; 40737; 81064; 56802
122,97859; 69388; 64872; 71864; 71932; 6538; 1676; 48976; 63266; 88303
123,72998; 5025; 77769; 51996; 94720; 69426; 40192; 88966; 18503; 82247
124,68829; 30939; 29351; 77006; 78917; 88098; 96448; 89027; 40737; 1786
125,25104; 46060; 89300; 9481; 67679; 58295; 74667; 58549; 81880; 14154
126,43248; 38624; 17741; 929; 83844; 32332; 94882; 41496; 62509; 4265
127,3940; 95495; 97441; 59473; 71683; 74918; 37144; 43743; 40291; 62225
128,75168; 23378; 2559; 85875; 40222; 39434; 26358; 87488; 34951; 64850
129,24924; 32935; 74531; 25171; 81354; 74184; 29231; 18476; 15682; 23408
130,27122; 10048; 54588; 27071; 49013; 27364; 73467; 67556; 5762; 92445
131,81851; 36365; 99443; 53407; 55085; 10197; 38633; 94595; 14168; 66173
132,10743; 11516; 18875; 34087; 15970; 62226; 53827; 25194; 97823; 56394
133,36954; 5816; 50399; 11185; 99432; 68924; 65719; 1490; 59826; 57067
134,39009; 52375; 68640; 79813; 6204; 1906; 75733; 57033; 83728; 83456
135,14280; 87888; 21179; 20844; 82550; 6627; 51826; 57000; 10678; 629
136,66834; 10883; 69426; 39335; 8808; 19779; 57908; 73119; 58258; 84170
137,93624; 65320; 13252; 51988; 30476; 73788; 99652; 4333; 26070; 6627
138,16648; 83946; 58294; 9367; 33069; 59605; 30777; 16996; 81729; 52210
139,27877; 26800; 99652; 39316; 57316; 95174; 29196; 84485; 47017; 56946
140,46968; 48084; 31857; 21257; 87450; 52084; 39286; 77678; 811; 80238
141,89301; 65776; 38970; 10217; 42982; 66683; 78342; 60919; 12380; 20701
142,814; 93624; 13407; 40; 86329; 38939; 99000; 36024; 52375; 6741
143,83543; 52469; 80710; 91795; 4968; 31508; 12728; 11789; 9239; 13441
144,85745; 42992; 58671; 1032; 64527; 27287; 28941; 57543; 29260; 41915
145,60753; 17846; 20847; 50062; 2113; 87702; 9882; 57226; 50103; 97624
146,31651; 29197; 25962; 90057; 458; 75641; 51580; 78449; 60545; 23940
147,40162; 59602; 8668; 3811; 40651; 3615; 94963; 32537; 6824; 49660
148,79813; 1995; 18007; 31301; 92614; 57754; 18017; 77622; 7441; 9643
149,94352; 6683; 75538; 71246; 89301; 51531; 88319; 27899; 96628; 39846
150,57294; 62779; 36407; 37081; 86291; 97888; 66114; 2483; 51904; 59047
151,21249; 52459; 78284; 4100; 58588; 4265; 96954; 33360; 79588; 76152
152,65804; 25987; 21098; 98429; 78245; 48591; 17341; 78441; 81765; 77800
153,32141; 32346; 89294; 59034; 12525; 80150; 10775; 19238; 90528; 97235
154,80726; 39966; 80869; 71789; 38990; 16389; 91206; 46171; 21081; 45647
155,32947; 57417; 86473; 57338; 81571; 15936; 25554; 24866; 10519; 64122
156,68153; 81020; 33603; 83172; 75427; 9711; 24258; 81755; 77759; 78832
157,59152; 30501; 39335; 75178; 2387; 31402; 19419; 77582; 73178; 22855
158,16648; 10928; 49751; 89575; 12779; 80006; 96291; 95457; 50488; 26383
159,91686; 75151; 15626; 6554; 19467; 81085; 56511; 151; 20641; 72797
160,97403; 83009; 80980; 1309; 69366; 96586; 79058; 82693; 40329; 83346
161,93908; 93098; 4031; 79879; 18434; 55562; 80067; 4679; 92133; 63088
162,8459; 35987; 21501; 93199; 75134; 52421; 77595; 90908; 77210; 15117
163,35922; 64222; 71789; 87179; 68264; 16280; 3800; 31375; 69079; 86296
164,85291; 57417; 15351; 96291; 48039; 51073; 6204; 9676; 30596; 88108
165,78130; 56410; 64418; 5589; 50060; 2991; 61061; 51722; 96291; 77705
166,472; 38202; 56396; 55392; 3899; 11516; 11158; 5254; 83898; 36836
167,79487; 41544; 9805; 53510; 41485; 57036; 8702; 1491; 99216; 72794
168,82131; 27228; 90280; 59920; 21148; 87515; 73102; 33955; 11697; 90652
169,81721; 56410; 24364; 73180; 92159; 34944; 94737; 99689; 52596; 31389
170,72366; 77315; 37540; 31507; 72545; 66121; 40511; 77781; 27640; 79258
171,97632; 81756; 2290; 12793; 39492; 25153; 68078; 99940; 53592; 27877
172,67237; 33390; 52534; 62999; 31666; 89799; 10016; 90817; 92190; 96833
173,98038; 18121; 16933; 6127; 22166; 10362; 94246; 93892; 3277; 19839
174,9858; 4217; 22308; 18072; 34671; 5864; 8192; 83284; 49085; 38399
175,50199; 53836; 15626; 14977; 13659; 3407; 83261; 27835; 81220; 682
176,6213; 44023; 54075; 62988; 36836; 5254; 68790; 26523; 14602; 36128
177,43774; 17865; 20702; 56595; 90575; 16435; 39049; 27679; 69419; 3142
178,81354; 35690; 93648; 45631; 32818; 58469; 52154; 28753; 82001; 76440
179,65842; 39096; 37756; 59963; 17692; 1590; 70776; 37231; 91021; 85536
180,50153; 42762; 83183; 32821; 93754; 94871; 42797; 82982; 32082; 68962
181,33682; 67100; 56997; 10854; 87814; 88352; 88517; 83293; 81839; 18999
182,82261; 2542; 11610; 80188; 95689; 58395; 96255; 88645; 14869; 90249
183,33603; 24364; 84207; 80426; 10125; 32655; 23934; 8104; 15428; 21825
184,50881; 7417; 56642; 63156; 55332; 13722; 55233; 50143; 26909; 13303
185,32821; 42797; 37179; 51710; 25962; 90249; 57481; 73604; 49211; 79139
186,33603; 60932; 78943; 18146; 15635; 96855; 97403; 46594; 30310; 10197
187,78338; 85520; 38861; 75527; 99666; 50583; 11372; 58616; 92894; 14665
188,95496; 28068; 48052; 78338; 257; 38956; 20696; 58515; 73016; 30445
189,25545; 39137; 82079; 66095; 52281; 12806; 6420; 39223; 24937; 4277
190,81002; 14307; 81706; 4254; 60681; 17490; 51986; 2766; 68141; 45786
191,32620; 36042; 82131; 8104; 5650; 26557; 18944; 61061; 33603; 84079
192,44554; 83359; 81895; 3686; 98122; 44023; 61651; 3972; 16117; 22769
193,5278; 52270; 91031; 53501; 58258; 80557; 77448; 11363; 57000; 96380
194,442; 32763; 95398; 42585; 53075; 18651; 85705; 30628; 14800; 85611
195,35667; 45373; 80987; 7591; 56897; 13489; 57840; 73448; 12775; 25268
196,56335; 22562; 77564; 80214; 37664; 60995; 69672; 50918; 73150; 40846
197,2696; 40092; 25061; 81913; 59640; 79150; 22819; 75924; 16386; 59018
198,12296; 14705; 83384; 32343; 31972; 6810; 64964; 9533; 55181; 20303
199,26847; 3277; 86704; 37090; 29048; 94246; 8972; 9291; 94254; 35624
200,77297; 3069; 78584; 17681; 32302; 66866; 1320; 22767; 42570; 3949
201,61451; 56699; 32328; 545; 95642; 77995; 68749; 69724; 77582; 42705
202,20874; 27724; 77638; 38644; 31564; 86334; 94934; 4507; 36294; 13494
203,79001; 1551; 94712; 96361; 99126; 19406; 89570; 22918; 15676; 48633
204,70335; 40710; 42260; 33022; 50968; 14535; 20013; 10643; 76731; 79192
205,12793; 7570; 81837; 51531; 70862; 80452; 31706; 75986; 87515; 35462
206,53893; 49400; 69306; 33360; 76395; 82477; 65320; 31431; 43248; 82935
207,53221; 32482; 97888; 56354; 83251; 32504; 65939; 97452; 9013; 75184
208,31093; 68674; 26804; 4962; 20976; 84664; 53375; 20665; 54075; 95859
209,8788; 4636; 67893; 92606; 77448; 78003; 54216; 49072; 78338; 77268
210,2696; 91206; 31375; 62964; 83843; 26507; 2113; 65850; 18101; 49635
211,98711; 14483; 55513; 66870; 74774; 18618; 72936; 73425; 91016; 78700
212,62303; 2482; 79880; 12707; 91117; 257; 675; 8710; 40351; 92523
213,85733; 6039; 68909; 93088; 48486; 9471; 18383; 69732; 3308; 71320
214,1983; 9702; 50357; 99362; 30644; 78245; 30648; 37728; 54574; 13398
215,23890; 69429; 44723; 81546; 18283; 3038; 53161; 64418; 77307; 30628
216,68899; 9264; 23135; 13015; 95199; 20924; 12440; 50918; 73121; 61487
217,99995; 6627; 42011; 93496; 30539; 39754; 4943; 47876; 55401; 90246
218,69964; 5709; 36017; 31756; 79800; 85275; 20874; 18529; 49776; 48657
219,49442; 7654; 57316; 11571; 93154; 27660; 76251; 50363; 37089; 61567
220,25509; 91767; 43048; 18121; 39301; 20956; 42757; 8624; 32330; 88834
221,54227; 81085; 96192; 85246; 15678; 69419; 68314; 22900; 59275; 4333
222,20526; 38440; 2542; 68390; 70784; 15855; 4968; 31381; 95574; 89973
223,77822; 41403; 26800; 13623; 73336; 29827; 15105; 43599; 77985; 30874
224,39800; 65962; 83681; 13887; 5589; 945; 93709; 80426; 39811; 54817
225,2154; 87542; 53263; 20428; 59671; 16172; 98050; 8760; 49381; 26358
226,93963; 57841; 55699; 36654; 57219; 91117; 79608; 87849; 11466; 91618
227,51695; 96361; 6559; 99712; 97892; 14170; 52964; 38586; 52874; 1981
228,52493; 388; 49176; 15962; 80816; 58479; 10106; 40289; 58645; 67849
229,60919; 65413; 77980; 3310; 4149; 78125; 92677; 61028; 2845; 98785
230,2696; 57382; 32454; 1309; 73895; 94857; 26675; 86268; 85143; 76123
231,7702; 26909; 3355; 38273; 72668; 58118; 68169; 15216; 70137; 91729
232,87186; 93908; 1786; 1339; 46533; 74858; 30939; 60710; 50399; 65719
233,57345; 81765; 60830; 35248; 27526; 82449; 58596; 66735; 9249; 31842
234,15974; 51714; 35366; 28229; 97635; 37974; 49809; 4303; 32376; 13100
235,12927; 23706; 40999; 90380; 13252; 53261; 12559; 58746; 14259; 52495
236,57764; 2696; 3748; 57754; 25897; 39275; 43996; 98738; 90835; 51713
237,15991; 79362; 57635; 65869; 97054; 92606; 6199; 61652; 91706; 77228
238,62851; 77768; 23068; 10316; 83231; 82514; 69866; 83251; 53850; 86898
239,472; 73731; 8537; 49995; 69399; 16001; 70642; 29472; 58519; 20972
240,92781; 94712; 39294; 30625; 26492; 85384; 75134; 86190; 48505; 79001
241,7250; 83994; 17417; 93975; 74895; 79104; 29328; 90051; 93881; 59143
242,79058; 62219; 85779; 97892; 39395; 67237; 17433; 15626; 66410; 62999
243,50199; 4169; 71343; 17351; 35305; 92706; 13494; 92951; 90311; 39335
244,31344; 78189; 87807; 8702; 42887; 18277; 20867; 87347; 72504; 36042
245,78130; 74159; 58855; 8766; 74026; 7635; 8360; 96021; 20651; 15765
246,62851; 88612; 20303; 90476; 92894; 92566; 93242; 32938; 31375; 86473
247,38727; 37728; 5781; 77707; 92133; 15967; 71569; 98455; 1676; 28275
248,32014; 66939; 8819; 22757; 37396; 89613; 69602; 25228; 18659; 58552
249,78611; 83563; 33762; 27423; 67446; 13422; 74217; 57537; 14996; 25461
250,14538; 60215; 91792; 16047; 29415; 85572; 92055; 81712; 9013; 77589
251,67328; 10292; 39069; 4291; 72566; 62834; 99329; 12526; 46788; 63041
252,12440; 37271; 67023; 60745; 33457; 18442; 31760; 93069; 99984; 66920
253,8365; 65962; 62072; 19153; 44229; 49039; 433; 76485; 98526; 16955
254,65681; 3485; 46120; 96186; 94544; 94; 22341; 36018; 82261; 51988
255,50857; 59640; 32340; 47728; 26910; 7776; 89776; 636; 89689; 95358
256,49940; 18305; 19881; 53429; 45388; 81020; 17918; 22651; 33561; 71654
257,67604; 15765; 84940; 61832; 71383; 49207; 41915; 75050; 10529; 66686
258,64816; 31533; 14545; 13722; 8622; 22163; 67823; 47097; 29197; 43837
259,2827; 15768; 61377; 11276; 43858; 49551; 73252; 32387; 85895; 12022
260,96192; 40217; 92304; 71808; 81953; 94517; 84427; 87499; 73781; 88954
261,71328; 11840; 95484; 55192; 10048; 1970; 66180; 6211; 92190; 72109
262,55390; 6239; 36906; 39737; 71827; 13687; 46172; 33389; 37062; 50373
263,26086; 20702; 33109; 79029; 17652; 46861; 65804; 94963; 8682; 92744
264,3319; 61273; 83199; 96192; 94538; 72936; 93582; 20524; 16678; 1574
265,7152; 22462; 35530; 17316; 17916; 36051; 75924; 27934; 38737; 19015
266,51717; 26442; 98299; 49926; 30701; 58855; 29613; 96178; 89001; 57757
267,2696; 49635; 18839; 42704; 18429; 7263; 76602; 52824; 20400; 90318
268,38530; 40792; 42968; 51879; 16695; 83231; 38970; 37185; 72886; 86315
269,16152; 68681; 26483; 79197; 26372; 10987; 23904; 216; 78169; 6559
270,49652; 37221; 80373; 89341; 52813; 67850; 56965; 6610; 40306; 83173
271,63156; 36016; 20614; 1752; 53222; 91178; 67890; 65972; 75246; 78830
272,44376; 21501; 41072; 46871; 83290; 85377; 39741; 91448; 65677; 60773
273,20155; 47983; 55833; 18999; 85050; 79502; 14910; 37396; 44212; 57840
274,9749; 67574; 15501; 94758; 12006; 60734; 86197; 64122; 6514; 73836
275,77297; 49256; 14705; 3031; 57381; 15997; 97980; 6810; 30480; 37338
276,19092; 61034; 81966; 85745; 51732; 22900; 86648; 44229; 97413; 80401
277,59771; 94766; 97852; 43570; 85863; 15532; 19787; 82118; 91581; 9002
278,51531; 5178; 62999; 18999; 26704; 98182; 40432; 89080; 60695; 58866
279,51988; 49528; 16418; 46523; 61414; 73663; 33946; 60204; 667; 52575
280,78338; 17182; 61754; 48676; 45457; 23048; 20155; 48594; 15271; 60576
281,43947; 15549; 54994; 75641; 15026; 39137; 91558; 36566; 56733; 37721
282,60164; 88303; 61575; 73252; 16392; 82150; 6199; 62137; 27530; 72485
283,31334; 76778; 13874; 36042; 91901; 79858; 33338; 64264; 33235; 81960
284,69414; 61412; 95398; 96921; 92014; 72038; 16112; 42600; 26650; 13694
285,50000; 47876; 2081; 27441; 11739; 85972; 61713; 19238; 23985; 75451
286,49400; 41766; 34106; 44376; 38414; 53082; 41488; 71311; 48808; 75058
287,3742; 42725; 6683; 45851; 96069; 10735; 21743; 75295; 42723; 85536
288,44350; 32336; 90560; 27877; 82477; 86888; 31117; 15239; 11697; 11679
289,72442; 25937; 57738; 30625; 77382; 99660; 76558; 72371; 92337; 47784
290,94092; 60215; 41349; 67849; 10600; 72353; 49775; 29660; 32929; 25931
291,10883; 4201; 65726; 77489; 99652; 61561; 47218; 19595; 83654; 90884
292,1668; 40737; 98322; 18089; 50199; 88667; 58140; 68934; 60899; 81798
293,33615; 33739; 28743; 7250; 66082; 99520; 65688; 40570; 83189; 11269
294,62856; 15672; 40211; 79588; 42832; 2694; 77290; 75471; 36164; 68218
295,85947; 81425; 51270; 19270; 81837; 33579; 73278; 80987; 76700; 8410
296,48039; 39029; 50199; 61451; 21576; 66327; 36006; 96392; 97554; 96200
297,20430; 77290; 32358; 30008; 75786; 2696; 1781; 31391; 41417; 90491
298,12429; 13252; 48601; 33393; 17460; 83521; 75961; 23135; 46206; 10173
299,18121; 86951; 38648; 20702; 43774; 74184; 65759; 72041; 24311; 94491
300,10425; 4962; 79058; 74803; 87255; 68495; 17521; 41523; 78996; 78218
301,72949; 67; 23978; 38677; 74798; 42914; 12592; 46802; 79855; 2584
302,6403; 68632; 6164; 67488; 68294; 31722; 67083; 4282; 83497; 72834
303,78856; 15127; 58950; 52246; 72813; 8760; 35462; 4149; 27664; 6286
304,12771; 14665; 68883; 35626; 92851; 27738; 61312; 94440; 36169; 31722
305,93586; 23720; 36164; 13452; 2963; 94683; 60638; 20184; 86973; 71369
306,75134; 27877; 11874; 60814; 90353; 58145; 51973; 17692; 84333; 3049
307,3230; 61937; 88536; 1086; 30687; 18167; 95624; 65969; 6756; 46864
308,13013; 68900; 56339; 85611; 19539; 75445; 98557; 81318; 59012; 63321
309,65680; 10376; 66447; 7887; 18305; 75156; 83260; 9676; 31932; 75641
310,83521; 98033; 5429; 80525; 30446; 4142; 33764; 39359; 43518; 52230
311,96282; 91795; 33677; 26794; 65965; 32672; 80279; 69428; 75134; 59541
312,36294; 50910; 96361; 21686; 81955; 81426; 63380; 35905; 14703; 42982
313,53670; 69994; 41544; 67376; 68310; 81955; 57991; 57852; 4327; 18305
314,51988; 69753; 64665; 73188; 59734; 20808; 49926; 61414; 20051; 96178
315,15967; 81878; 11133; 75538; 9137; 29877; 27679; 76561; 99649; 46120
316,13874; 94092; 6707; 19394; 80309; 86370; 91266; 65356; 1865; 3613
317,67850; 92133; 93765; 20234; 79996; 92781; 76428; 32853; 87107; 44536
318,15192; 15923; 26776; 92886; 89872; 73254; 130; 79649; 47088; 32460
319,6385; 33038; 95968; 4122; 86296; 9561; 47145; 21773; 47282; 12771
320,26997; 2636; 17140; 66794; 90434; 44348; 39741; 80738; 14705; 73419
321,34961; 41100; 41766; 93003; 98526; 1664; 21907; 6657; 44376; 43943
322,20303; 32222; 73146; 16048; 82154; 74410; 73631; 85655; 26383; 25770
323,21790; 62379; 33169; 14977; 14638; 36052; 18374; 17201; 81052; 56511
324,50341; 59430; 58457; 38794; 3843; 27638; 83449; 10465; 52256; 27790
325,38785; 10045; 15678; 36115; 10556; 77408; 30571; 77569; 64; 39493
326,59650; 5254; 56396; 57837; 99286; 10286; 51974; 57445; 83898; 71268
327,50375; 14814; 93257; 16726; 17265; 51641; 21372; 33857; 61412; 1387
328,23903; 28776; 19595; 16851; 7118; 72188; 85065; 72834; 33457; 78044
329,5502; 70642; 27790; 1906; 69015; 88059; 58855; 15752; 9859; 10731
330,10928; 24011; 69306; 81340; 13372; 97345; 66602; 80710; 48617; 17465
331,16648; 85853; 41072; 16880; 99211; 27025; 55267; 85536; 39561; 5140
332,82118; 30939; 93065; 79001; 40376; 11270; 50911; 65102; 5443; 54564
333,51531; 13582; 6860; 4045; 70356; 57036; 51811; 22166; 1309; 73139
334,24299; 61061; 31426; 60553; 29686; 85863; 29419; 76317; 46799; 95091
335,9711; 58373; 15550; 58801; 17118; 67903; 85110; 96869; 30196; 89594
336,72509; 57947; 10626; 73554; 94246; 85025; 46152; 44208; 32568; 10054
337,40144; 61226; 88155; 40035; 11185; 43962; 60254; 18359; 26800; 400
338,75232; 67140; 5995; 78151; 64315; 26847; 81514; 7453; 67846; 76440
339,51531; 87135; 57036; 86473; 38358; 87706; 90374; 70735; 49426; 3701
340,75977; 27790; 2275; 74744; 72126; 51531; 74739; 18999; 72904; 7447
341,90406; 25390; 26794; 40090; 72736; 84234; 10206; 30268; 4122; 86073
342,76223; 2985; 6545; 11530; 80227; 8734; 43754; 86129; 92165; 70300
